text,label
"I purchased this movie on blu-ray because it promised great visuals and music. I was also a great fan of a similar movie... Baraka. The movie is very much styled after Baraka, wide angles, very similar shots with cameras set to capture long time passage in each shot. Even some of the scenes were identical (the street with traffic). Whereas Baraka told a great story, juxtaposing nature, man-made environments, spirituality, and horrors of the world in an engrossing fashion and great music, this movie just jumped from shot to shot with no encompassing story, mediocre musical score, and then.... POOF, it's finished! I thought there must be some sort of mistake! History of the world? Half the movie is Egypt and landscape (looks like Arizona, but I didn't bother to check). Seriously folks, this is horrible, rent it if you must, but do not buy it. The filmmakers should be ashamed of themselves for putting this out.",0
"Although the production and Jerry Jameson's direction are definite improvements, ""Airport '77"" isn't much better than ""Airport 1975"": slick, commercial rubbish submerging (this time literally) a decent cast. Jack Lemmon is the pilot of a packed airliner which gets hijacked by art thieves and crashes into the sea (all the publicity claimed it was near the Bermuda Triangle, but there's no mention of it in the film itself). When the rescue ships come to raise the airplane out of the water, we see all their cranes dropping (rather blindly) into the ocean and it's hard not to laugh (imagining the cranes plugging the plane, the passengers and the waterlogged script). NBC used to air what appeared to be the ""director's cut"", with at least an hour of extra footage--mostly flashbacks--injected into the proceedings with all the subtlety of a ""Gilligan's Island"" episode. Most exciting moment is the plane crash, and some of the players have a little fun: Lee Grant is an obnoxious drunk, Brenda Vaccaro a no-nonsense stewardess, Joseph Cotten and Olivia de Havilland are flirting oldsters. Still, the personality conflicts and the excruciating military detail eventually tear at one's patience. ** from ****",0
"I saw the long day's dying when it first came out at the cinema, I thought the film gave a good soldiers point of view, it gave a realistic account, of men at war. The storyline moves at a nice pace, showing a group of men behind enemy lines, and trying to return back to their own lines with an enemy prisoner. The characters are well developed, and believable.<br /><br />David Hemmings is a good actor and plays the leading role with conviction, as does Alan Dobie (as German Helmut) I was surprised, that i have been unable to find this film on VHS or DVD, and I feel it has become the forgotten film, which is sad , as it is superior to many other war films I have seen.",1
"the guy who wrote, directed and stared in this shocking piece of trash should really consider a carer change. Yes Rob Stefaniuk, i mean you! Seriously, who funded this crap? there are so many talented writers out there whom money could be better spent on. I think the idea is great but the acting, script and directing is just plain awful! The jokes are so not funny, I understand that they are supposed to be taking the mickey. BUT do it with style, this movie is screaming 1995 Saturday night live skits. Why, I say again why do studios give money to hacks like Rob Stefaniuk - NEVER GIVE A COMEDIAN THE Opportunity TO WRITE DIRECT AND STAR IN HIS OWN MOVIE. DUH!",0
"they have sex with melons in Asia.<br /><br />okay. first, i doubted that, but after seeing the wayward cloud, i changed my mind and was finally convinced that they have sex with watermelons, with people dead or alive. no safe sex of course. the (terrifyingly ugly) leading man shoots it all into the lady's mouth after he did the dead lady. never heard of HIV? guess not.<br /><br />the rest of this movie is mainly boring, but also incredibly revolting. as a matter of fact, in parts it got so disgusting i couldn't take my virgin eyes off. sex with dead people! how gross is that? and what's the message behind it all? we need water, we need melons, we need to be dead to have sex? sorry, but this stinks!",0
"The fact that there are positive comments about Dan in Real Life on the IMDb just makes me realize that their junket staff are hard at work trying to get people to watch this utterly horrific film.<br /><br />I have no words, no idea where to start to describe the truly awful film I sat through last night - Dan in Real Life. Steve's characters in previous films led me to believe that I would feel something for his character and enjoy the dialog but like other posters I felt uncomfortable and embarrassed for the cast.<br /><br />The dialog was so contrived, the family was this cookie cutter Walton's family and the film has been so many times before that I am shocked someone thought it was an original idea.<br /><br />Do yourself a favor and take a pass on this terrifyingly bad movie and don't believe everything you read on the IMDb since the first comments were clearly written by folks sitting in a different theater watching a GOOD film.",0
"When it comes to creating a universe George Lucas is the undisputed master and his final Star Wars film is very, very good (and more appropriately rated in comparison to the two previous films in the original saga). Having recently seen Revenge of the Sith really puts this movie in perspective. The final battle seems even more climactic knowing what Anakin Skywalker went through at the manipulative hands of the Emperor. It also makes the final battle between Luke and Vader more bitter considering the love he felt for Padmé and the love she felt for her children. Actually while the new films (especially Episode II) are inferior to the original films they are good for one reason only. They make the old films seem even better.<br /><br />Mark Hamill does an exceptional job in this movie. He really brings the changes Luke has gone through seem real. In all fairness I believe that he should have become a big actor based on these films because he really does a great job. Harrison Ford is still good. However, you can feel that he has done Raiders and Blade Runner in between the two final chapters of Star Wars because he seems to have grown quite a bit. He adds more comedy (obviously inspired from Raiders) to the character which works brilliantly. In short Han Solo is better than ever. Carrie Fisher was never really a good actress but she does a decent job and is certainly passable. Ian McDiarmid appears in this film and having seen Episode III I can safely say that he is one of the most accomplished villains ever. James Earl Jones still provides the voice for Vader and he is still very, very good.<br /><br />In terms of how the movie looks its pretty safe to say that the Star Wars universe looks better than in either of the previous (two) movies but this was always Lucas' forté so that is really to be expected. The final battle over Endor is very well made both in terms of the general effects and tension wise. It was also a nice touch that Lucas decided to have three battles take place at the same time as it added to the overall tension of the climax. <br /><br />The only thing I feel is dragging the movie down from an otherwise deserved 9 are the Ewoks. These little creatures are so annoying they almost ruin every scene they are in. Besides I find it to be a little to kiddy when a group of teddy bears with bows and arrows can defeat a squadron of Storm Troopers with laser guns and mighty machinery.<br /><br />All in all Return of the Jedi is a very good movie but the fact that Richard Marquand is a less accomplished director than Irvin Kershner does that the overall feel of the movie is less than brilliant. Also George Lucas' stupid decision to add the Ewoks to the universe does that the film falls short of brilliance.<br /><br />8/10",1
"At long last! One of Michael Jackson's most well known and beloved films comes to DVD! In Michael Jackson Moonwalker, (Michael Jackson) stars as Michael. A man with powers that are not of this world. Michael must save Sean (Sean Lennon), Katie (Kellie Parker), Zeke (Brandon Quintin Adams), and the rest of the worlds children from drug lord Frankie Lideo aka Mr. Big (Joe Pesci) who's mission in life is to get all of the worlds children hooked on drugs! A NOTE TO PEOPLE IN THE USA LOOKING FOR THIS FILM ON DVD: Make sure when buying this film on DVD you buy Warners Product #WK00817 as NTSC Region 3 which plays on North American NTSC Region 1 players.",1
"The third collaboration for Karloff and Lugosi sees a move away from Poe and into the realm of the science fiction serial. Karloff plays Dr. Janos Rukh, creator of a device that can capture light rays through his telescope in the Carpathian Mountains and translate them into pictures that form a visual history of the universe.<br /><br />Before several guests, including Lugosi as Dr. Benet, an astro-chemist who had previously scoffed at Rukh's theories, he demonstrates the existence of an unknown radioactive element, here termed ""Radium X"", contained in a meteor that fell to Earth in darkest Africa several thousand years ago. Karloff joins the expedition to prove his theories, but Radium X is a tricky compound - it levels mountains at long range, and cures blindness at short range. Rukh is careless, however, and poisons himself, glowing in the dark rather like those old Ready Breck commercials! Dr. Benet is on hand to devise a counter-active for the radiation, but combination of poison and cure drives Rukh insanely paranoid. Convinced he has been cheated, he seeks out the members of the expedition in Paris, including his estranged wife, and his very touch while in his radioactive state means death...<br /><br />Along the way we get the old pseudo-scientific idea that a dead person's eyes record the image of their killer (a remarkably distinct Karloff!) and the Radium X device used to symbolically melt statues that represent the expedition members. And even a touch of James Whale in a cockney landlady in Paris!<br /><br />The Invisible Ray is great fun, aside from the Gothic opening it's interesting to see Universal move the action around to Africa and Paris. The film lacks pace, but is always absorbing. Karloff slightly overdoes his performance but Lugosi is terrific. Universal used the basic story outline again in Man Made Monster, this time with Lon Chaney Jr. as the glowing menace (this time caused by electricity) and Lionel Atwill as a much madder doctor than Lugosi is here. The Invisible Ray is a sombre and clever little film with much to admire. Not as famous as other Universal Horrors, perhaps, but it works and is highly entertaining.",1
"good lord! (and that coming from an atheist), this ""movie"" is bad !<br /><br />much has already been said by the reviewers before (the ones who rated this piece 3 and below) to which I fully agree, I just like to add a few things: <br /><br />among the three guys who had to eat their own digestive end products, got chopped up by an Axe, raped by a broomstick, had their balls blown away - the ex-boyfriend suffers the worst torture while having to listen to the girl's endless and pointless babble at the kitchen table (as do we, but at least we have the mercy of the mute button).<br /><br />had the director cut out the point- and endless graveyard and inverted scenes, our suffering would have been over after 30 minutes.<br /><br />the only things that made this flick at least somewhat bearable are Emily Haack's tits (one point).<br /><br />forget it. don't buy it. don't waste your time. and your sanity. my brain is so fried after watching this I feel the urgent need to watch (and suffer?) ""Scrapbook"" right now.",0
"It's been nearly 30 years, and I STILL hate everyone involved in this movie. It remains the worst movie I've ever seen.<br /><br />Before seeing this, I never much minded Rivers, one way or the other. After seeing this movie, I have an allergic reaction when I accidentally see her on television.<br /><br />I got dragged to this - against my better judgment - by peer pressure. However, coming out of the theater, those friends swore an oath to never again overrule my choice of movie. Nearly thirty years later, we still carry around mental scars from this movie.<br /><br />On my deathbed, one of my regrets will be the time I wasted hoping that this movie might get better. It never did.<br /><br />If you are ever given a choice, you would prefer putting your own eyes out to sitting though this movie.<br /><br />I registered for IMDb comments just in the hope that perhaps I can warn others against viewing this movie. If I can save just one person from watching this, then my existence on this earth will have been justified.",0
"Gene Hackman gets himself busted out of prison by a nameless government agency who want him for an assassination. It's a given of course that Hackman has the proficient skills for the job.<br /><br />Nobody tells him anything though, he's given as the audience is given bits and pieces of information. That's supposed to be suspenseful, instead it's annoying and boring. <br /><br />Hackman goes through with the mission, but the getaway is messed up and the guy at the top of this mysterious entity orders everybody dead to cover it up. So everyone in the cast dies and at the end you don't really care.<br /><br />One of the other reviewers pointed out that the film was originally twice as long, almost three hours and got chopped down quite a bit. Maybe something really was lost in the translation, but I tend to think it was a mercy act on the audience.<br /><br />A very talented cast that had people like Richard Widmark, Candice Bergen, Mickey Rooney, Eli Wallach, and Edward Albert is so thoroughly wasted here it's a crime. <br /><br />And we never do find out just what federal agency was doing all this, the FBI, the CIA, the DEA or even the IRS.",0
"Well, I can once and for all put an end to the question: 'What is the worst movie ever made...ever?' It is Flight of Fury, starring and co-written by Steven Seagal. Sure there are lots of famously bad movies, but this one takes the cake in that it takes itself so seriously.<br /><br />It is a Romanian-made film that speaks to just how far Romania has to go to catch up with Bollywood. It also speaks to just how utterly devoid of intellect and talent Steven Seagal has become. This movie is so bad that you literally feel violated after watching it and need to crouch in the corner of the shower and cry, knowing that nothing will make you feel clean again.<br /><br />It was released only on video (I can't imagine why) and I suspect the workers that had to make the DVD's had to wear protective gear and receive regular counseling.",0
"after just having watched The Deer Hunter,which is a masterpiece,the movie Jacknife had big shoes to fill.it has same themes as The Deer Hunter,the devastating effects on a person after the Vietnam War.Robert De Niro is in this film,as in The Deer Hunter and is very good here,as is Kathy Baker.but this movie belongs to Ed Harris,who gives a powerful,emotional and impactful performance.the movie is based on a stage play,and there are one or two scenes where that felt obvious to me.by that i just mean that for those one or two scenes it felt like i was watching a stage play.that was not that big a deal,and doesn't really diminish the film.i actually really liked this movie.it's not an epic like The Deer Hunter.they are about similar era and have similar themes,but they are two very different films.i thought The Deer Hunter was great,and i also think this movie was great.it's the acting in this one that makes it so great.for me,Jacknife is a 10/10",1
"Tiempo de Valientes fits snugly into the buddy action movie genre, but transcends its roots thanks to excellent casting, tremendous rapport between its leads, and outstanding photography. Diego Peretti stars as Dr. Silverstein, a shrink assigned to ride shotgun with detective Diaz (Luis Luque), who's been assigned to investigate the murder of two minor hoods who seem to have been involved in am arms smuggling conspiracy. Diaz has been suspended from duty, but he's the best man for the job and must have professional psychiatric help in order to be reinstated. Silverstein and Diaz soon find themselves enmeshed in a conspiracy involving Argentina's intelligence community and some uranium, and the film separates them at a crucial point that allows Silverstein to develop some impressive sleuthing skills of his own. Peretti and Luque are excellent together and remind me of screen team Terence Hill and Bud Spencer, though Peretti isn't as classically handsome as Hill. Remarkably, even at almost two hours in length Tiempo de Valientes doesn't wear out its welcome, and indeed writer-director Damian Szifron sets up a potential sequel in the film's charming coda. All in all, a wonderful and very entertaining action comedy that neither panders to the lowest common denominator nor insults your intelligence.",1
"Wow, what a total let down! The fact people think this film is scary is ridiculous. The special effects were a direct rip-off of ""The ring."" The story? Was there one? Not in my opinion..Just a bunch of flashy imaging. The entire film was a boring, stupid, mess. I guess there is always a market for bad films with good marketing campaigns. However, this is the worst horror film I have seen in years. And that Buffy chick? Well, she's a bad actress! As plastic as Barbie and just as talented..No, wait, that would be an insult to the talents of Barbie! I suppose many kiddies helped this film at the box office as it was PG-13, and had it been rated R, it would have bombed IMO! Stupid movie!",0
"The Three Stooges has always been some of the many actors that I have loved. I love just about every one of the shorts that they have made. I love all six of the Stooges (Curly, Shemp, Moe, Larry, Joe, and Curly Joe)! All of the shorts are hilarious and also star many other great actors and actresses which a lot of them was in many of the shorts! In My opinion The Three Stooges is some of the greatest actors ever and is the all time funniest comedy team! <br /><br />This is a good Three Stooges short. It funny and its cast includes Christine McIntyre,Symona Boniface, Gino Corrado, Fred Kelsey, Sam Flint, Chester Conklin, Theodore Lorch, Lynton Brent, Judy Malcolm, Vernon Dent, John Tyrrell, Heinie Conklin, and Bess Flowers. The Stooges performed very well in this short! I recommend this one!",1
"John Singleton's finest film, before blockbuster wannabees like the Shaft remake, this is a thought-provoking movie with overall great acting and superb balance between the stories 3 main characters, each with identifiable youngster problems.<br /><br />What I liked about it most is that it also covers the problem of selfpity among young blacks, a problem mostly ignored by the media and other films who mostly focus on social-economical problems and racism by whites. This movie shows that blacks can be equally ignorant and racist.<br /><br />The masterful thing about this film is that it deals with so many topics without getting shallow. It's not just about racism, but about how hard it can be to adopt to a new world (college), date rape, discovering sexuality and isolation. Omar Epps, Michael Rapaport and Kristy Swanson each deliver fine performances, and the supporting cast is equally interesting with Jennifer Connelly as a lez (yay) and with Ice Cube and Busta Rhymes as college bums causing little riots.<br /><br />The only negative is the caricature of a professor by Laurence Fishburne (""Peppermint?""). Surely, plenty of professors are nutty. But they're not as flat. The skinheads are also a bit of a caricature, but I guess they are like that too in real life.<br /><br />Overall a great underrated piece of filmwork, if you liked American History X you'll love this one.<br /><br />8,5 out of 10",1
"Saw this in the theater in '86 and fell out of my chair laughing more than once. ""Beirut""...""What do you know about Beirut?""...""Beirut...he's the best damn baseball that ever lived.""<br /><br />You know how it's going to end but it has a great time getting there. The training scenes are very funny but the best scene may be the one when Jack and Reno are attempting to watch the Falcons v. Vikings Monday Night Football game while attempting a make-up dinner with their wives.<br /><br />Williams and Russell seem to have a lot of fun with this one and it's too bad that it's overlooked as a top notch comedy.",1
"This movie was so very badly written. The characters had no depth. They should have never made a movie of this. My 11 yr old son could write a better screenplay then Hyung-rae Shim.<br /><br />The only actor that didn't suck was the zoo guard. He was the only funny and believable one of the lot.<br /><br />I love movies and try to give them the benefit of the doubt, but this one was up there on my lame list at number 2. Number 1 being Demonicus.<br /><br />For those of you who actually thought this was a good movie, you are in serious need of brain surgery.<br /><br />Most of the creatures in the movie weren't even dragons...so why did they call D-war?",0
"I have not read the other comments on the film, but judging from the average rating I can see that they are unlikely to be very complementary.<br /><br />I watched it for the second time with my children. They absolutely loved it. True, it did not have the adults rolling around the floor, but the sound of the children's enjoyment made it seem so.<br /><br />It is a true Mel Brooks farce, with plenty of moral content - how sad it is to be loved for our money, not for whom we are, and how fickle are our friends and associates. There are many other films on a similar subject matter, no doubt, many of which will have a greater comic or emotional impact on adults. It's hard for me to imagine such an impact on the junior members of the family, however.<br /><br />Hence, for the children, a 9/10 from me.",1
"Director Kevin Connor and wannabe action-hero / romantic lead Doug McClure, re-team in this ghost story set in Japan. They had been moderately successful together in the 1970's, with the likes of 'The Land that Time Forgot' (1975), 'At the Earth's Core' (1976) etc. Without plastic monsters to carry the narrative along though, the results are shabby and derivative in the most corny way.<br /><br />The film begins with a prologue set in the 19th Century, with a samurai husband killing his wife and her lover before committing suicide. A move forward to the present introduces married couple Ted & Laura, visiting Japan and moving in to the house where the tragedy took place.<br /><br />No surprises as to what happens next, with the spirits of the dead starting to take over the new inhabitants with family friend Alex (McClure) assuming the role of the wife's lover.<br /><br />Everything rumbles clumsily along with the elegance and grace of a charging elephant, to an inevitable ( but surprisingly downbeat ) conclusion. Main points of interest are two feeble decapitations ( 'The Omen' has a lot to answer for in promoting this as a standard horror set-piece ), and the love-making scenes featuring the doe-eyed but extremely kinky Susan George. The first is a long 'Don't Look Now' inspired piece with her hubby, complete with piano music; the second a much shorter (probably at her insistence) entanglement with McClure, both looking pretty uncomfortable. Anyway, every cloud has a silver lining and both scenes show of her fantastic knockers so all is not lost.<br /><br />Overall I can't decide whether 'The House where Evil Dwells' is rubbish, watchable rubbish, or entertaining in a masochistic kind of way. If you're not into the genre there is nothing here at all, but for horror fans there is probably enough to provoke the odd rye smile and appreciative nod of respect for effort.<br /><br />BEST SCENE - in any other film the big, black, tree-climbing, Japanese-muttering mechanical crabs would have stolen the show. They are eclipsed though by the legendary family meal scene, where a ghostly head appears in the daughters soup. On seeing this apparition she asks what kind of soup it is (!!!!), to be told beef and vegetable, before uttering the immortal line ""Ugh - there's an awful face in my soup"". If this wasn't enough the reply is ""C'mon, eat your soup for Daddy."" Laurel & Hardy rest in piece.",0
"I saw this movie when I was a child. It blew me away. This was before the days of television, so a movie of this magnitude, could send a young kid into orbit. It so impressed me, that I went to see this movie for twelve consecutive days. The special effects used at this time were far ahead of its' time. Sabu was a real delight, as was Rex Ingram as the Genie. I found myself singing ""I want to be a sailor"" for months after the film left town. I would recommend this movie to any and everyone. I forgot to mention Conrad Veidt, who was as villainous a character as you'd ever want to meet. Also, June Duprez was never lovelier than she was in this picture. The color was outstanding. Give this movie an AAA!",1
"If Bob Ludlum was to see this mini series, he would have cried. This was complete waste of time and money. I have read the book and even though movies are not exactly what the book may be, CBS wasted time and money on this and it is embarrassing to claim that this was Ludlum's work.<br /><br />May be the creator should check out the Bourne Identity with Richard Chamberlain and see how good that TV series was.<br /><br />Poor Mira, Blair, Anjelica and Colm, why did they sign to stoop this low?<br /><br />Horrible!!",0
"I rented this film yesterday mostly due to the good-looking art and the summary given on the back of the jacket. After popping it into my DVD player I re-examined the jacket cover and even though I took the cover out of from the plastic viewer, I STILL could not read any of the production detail information about the film. This film is entitled Evil on the Jacket and had to locate it by going to Faith Films website to find out any linkage to it here on IMDb.<br /><br />The filming and special affects done in the film looked quite good ... THEN, a line-reading actor spoke. Oh dear ... this actor's reading sounded like some pimple-faced high school jock whose voice just managed to change pitch, and no attempt given to go beyond reading the lines from the script. At first I thought I got a bad disc out of audio sync, then had to surmise it was a foreign film since I couldn't read the jacket... English dialog dubbed. If they'd casted the right person for dubbing the dialog, this film MIGHT have been decent. I gave it a chance of about 20 minutes before ejecting it when I discovered the bad line reader wasn't going to get killed off, but stay as the constant main fixture. Yes, it is THAT bad! The jacket cover art and the art done in the film are great, so gave the one star, but minus 1,999,999 stars for the rotten dialog. I do not recommend this one!",0
"To call a film about a crippled ghost taking revenge from beyond the grave lame and lifeless would be too ironical but this here is an undeniably undistinguished combination of GASLIGHT (1939 & 1944) via LES DIABOLIQUES (1954); while still watchable in itself, it's so cliché-ridden as to provoke chuckles instead of the intended chills. However, thanks to the dire straits in which the British film industry found itself in the late 1970s, even a mediocre script such as this one was able to attract 10 star names - Cliff Robertson (as the conniving husband), Jean Simmons (in the title role), Jenny Agutter (as Robertson's artist half-sister), Simon Ward (as the enigmatic chauffeur), Ron Moody (as an ill-fated doctor), Michael Jayston (as Robertson's business partner), Judy Geeson (as Simmons' best friend and Jayston's wife), Flora Robson (as the housekeeper), David Tomlinson (as the notary reading Simmons' will) and, most surprisingly perhaps, Jack Warner (as a gravestone sculptor) - although most of them actually have nothing parts, I'm sorry to say!",0
"I loved this film, seen this evening on a movie theatre big screen! The audience laughed out loud at some very interesting things, and the fast pace was most enjoyable.<br /><br />I do, as a singer and musical director, question one section of Roby Keeler's vocal in ""By a Waterfall."" The key modulated, and she was suddenly singing much lower, in a very mellow voice that bore no resemblance to the somewhat tin-like higher twitter voice she used in all her other vocals.<br /><br />Does anyone know if this was overdubbed by another singer? It sounds it to me. I would love to know.<br /><br />Thanks so much.",1
"This is a quite slow paced movie, slowly building the story of an ex stripper who begins a new family life with a complete stranger. The viewer slowly feels that there's something wrong here ...<br /><br />I really loved this movie even though it leaves a slight bitter taste in the end. It is clever, well paced and very well acted. Both Philippe Toretton and Emmannuelle Seigner are deeply into their characters. <br /><br />The little son ""pierrot"" is also very touching.<br /><br />A thriller which does not seem like one. A very unconventional movie, very particular atmosphere throughout the whole movie though you might feel awkward a few times with a couple of scenes.<br /><br />i'll give it a 8/10 !!",1
"This is the kind of movie that my enemies content I watch all the time, but it's not bloody true. I only watch it once in a while to make sure that it's as bad as I first thought it was.<br /><br />Some kind of mobsters hijack a Boeing 747. (That, at least, is an improvement over having Boeing hijack a good part of the Pentagon.) The airplane goes down in the Bermuda triangle and sinks pressurized to the bottoms, a kind of post-facto submarine.<br /><br />It has one of those all-star casts, the stars either falling or barely above the horizon.<br /><br />""We're on our own!"", says pilot Jack Lemon. He is so right. Except for George Kennedy. He's in all these disaster movies.<br /><br />Watch another movie instead. Oh, not ""Airport"" the original. That's no good either. Instead, watch a decent flick about stuck airplanes like ""Flight of the Phoenix.""",0
